
"{'loss': 0.044669561088085175, 'acc': 0.9871657490730286, 'val_loss': 0.3551262617111206, 'val_acc': 0.9004487964096287, 'val_aupr': 0.945610335429664, 'val_auc': 0.9576904261098292, 'val_f1': 0.9009204114780724, 'kfold': 4, 'epoch_count': 6}"
"{'loss': 0.038252413272857666, 'acc': 0.9889336824417114, 'val_loss': 0.3654225468635559, 'val_acc': 0.9068407452740378, 'val_aupr': 0.9513931843529415, 'val_auc': 0.9600003404497192, 'val_f1': 0.9074449398729902, 'kfold': 4, 'epoch_count': 7}"
"{'loss': 0.350152850151062, 'acc': 0.8401584029197693, 'val_loss': 0.2529130280017853, 'val_acc': 0.9005847953216374, 'val_aupr': 0.9502692433138861, 'val_auc': 0.9593071757594301, 'val_f1': 0.9013362127142664, 'kfold': 5, 'epoch_count': 1}"
"{'loss': 0.1422589272260666, 'acc': 0.9483570456504822, 'val_loss': 0.26431506872177124, 'val_acc': 0.9082007343941249, 'val_aupr': 0.9540576307308912, 'val_auc': 0.9625520635814535, 'val_f1': 0.9096989966555183, 'kfold': 5, 'epoch_count': 2}"
"{'loss': 0.08019943535327911, 'acc': 0.9739405512809753, 'val_loss': 0.3005748689174652, 'val_acc': 0.9064327485380117, 'val_aupr': 0.9542078515723047, 'val_auc': 0.9624352446605468, 'val_f1': 0.9077005634558626, 'kfold': 5, 'epoch_count': 3}"
"{'loss': 0.05760926380753517, 'acc': 0.9838509559631348, 'val_loss': 0.292138934135437, 'val_acc': 0.9105127158982728, 'val_aupr': 0.9511888052465967, 'val_auc': 0.9617834927392489, 'val_f1': 0.9119850187265917, 'kfold': 5, 'epoch_count': 4}"
"{'loss': 0.04860960692167282, 'acc': 0.9865707755088806, 'val_loss': 0.3549875319004059, 'val_acc': 0.9054807561539507, 'val_aupr': 0.9450421904943593, 'val_auc': 0.958120527829167, 'val_f1': 0.906848947862217, 'kfold': 5, 'epoch_count': 5}"
"{'loss': 0.03974797949194908, 'acc': 0.9892906546592712, 'val_loss': 0.3227575719356537, 'val_acc': 0.9073847409220727, 'val_aupr': 0.9519467596216825, 'val_auc': 0.9608329240848655, 'val_f1': 0.908602872097705, 'kfold': 5, 'epoch_count': 6}"
"{'loss': 0.03703683614730835, 'acc': 0.9890866279602051, 'val_loss': 0.37656211853027344, 'val_acc': 0.9041207670338637, 'val_aupr': 0.9481526852828613, 'val_auc': 0.9584753865714912, 'val_f1': 0.9059121847057253, 'kfold': 5, 'epoch_count': 7}"
"{'loss': 0.3973468840122223, 'acc': 0.8132054805755615, 'val_loss': 0.25315529108047485, 'val_acc': 0.8984226271416916, 'val_aupr': 0.9487075653331342, 'val_auc': 0.9587671024969364, 'val_f1': 0.8993939393939394, 'kfold': 1, 'epoch_count': 1}"
"{'loss': 0.16839785873889923, 'acc': 0.9394124746322632, 'val_loss': 0.2269587218761444, 'val_acc': 0.9141963557247756, 'val_aupr': 0.9619716564135294, 'val_auc': 0.967946076137065, 'val_f1': 0.9157205823427274, 'kfold': 1, 'epoch_count': 2}"
"{'loss': 0.08784129470586777, 'acc': 0.97293621301651, 'val_loss': 0.27591264247894287, 'val_acc': 0.9046777264073973, 'val_aupr': 0.9541855313739971, 'val_auc': 0.9617582088730915, 'val_f1': 0.907090788601723, 'kfold': 1, 'epoch_count': 3}"
"{'loss': 0.062176793813705444, 'acc': 0.9830681085586548, 'val_loss': 0.2887321710586548, 'val_acc': 0.9082132172967092, 'val_aupr': 0.9546711697722571, 'val_auc': 0.9624633734529131, 'val_f1': 0.910059960026649, 'kfold': 1, 'epoch_count': 4}"
"{'loss': 0.048284851014614105, 'acc': 0.9876071214675903, 'val_loss': 0.3032093644142151, 'val_acc': 0.9075333152026108, 'val_aupr': 0.954081259566698, 'val_auc': 0.9630555593358939, 'val_f1': 0.909862142099682, 'kfold': 1, 'epoch_count': 5}"
"{'loss': 0.04216110706329346, 'acc': 0.9888991117477417, 'val_loss': 0.31300029158592224, 'val_acc': 0.9061735110144139, 'val_aupr': 0.9546269864992926, 'val_auc': 0.9618296202850716, 'val_f1': 0.9074570815450644, 'kfold': 1, 'epoch_count': 6}"
"{'loss': 0.037229202687740326, 'acc': 0.9895451068878174, 'val_loss': 0.3339180648326874, 'val_acc': 0.9039978243132989, 'val_aupr': 0.951429595151192, 'val_auc': 0.9599452613591111, 'val_f1': 0.9060670569451836, 'kfold': 1, 'epoch_count': 7}"
"{'loss': 0.39387136697769165, 'acc': 0.8130960464477539, 'val_loss': 0.26650574803352356, 'val_acc': 0.8948728410172718, 'val_aupr': 0.9492911265949375, 'val_auc': 0.9571587496198648, 'val_f1': 0.8948156211729487, 'kfold': 2, 'epoch_count': 1}"
"{'loss': 0.17496879398822784, 'acc': 0.9357097744941711, 'val_loss': 0.2267157882452011, 'val_acc': 0.9174486604107167, 'val_aupr': 0.9587154263921236, 'val_auc': 0.967295909042814, 'val_f1': 0.9191421340082591, 'kfold': 2, 'epoch_count': 2}"
"{'loss': 0.08959878981113434, 'acc': 0.9713736772537231, 'val_loss': 0.24672271311283112, 'val_acc': 0.9151366789065688, 'val_aupr': 0.9572975049231001, 'val_auc': 0.9664546172270223, 'val_f1': 0.916151572158022, 'kfold': 2, 'epoch_count': 3}"
"{'loss': 0.06441958248615265, 'acc': 0.9818450808525085, 'val_loss': 0.29008010029792786, 'val_acc': 0.9102407180742554, 'val_aupr': 0.9540844510396855, 'val_auc': 0.9635759859651511, 'val_f1': 0.9113856068743287, 'kfold': 2, 'epoch_count': 4}"
"{'loss': 0.05220960080623627, 'acc': 0.9857208132743835, 'val_loss': 0.2950890064239502, 'val_acc': 0.9126886984904121, 'val_aupr': 0.9561328002128913, 'val_auc': 0.9642755826334283, 'val_f1': 0.9143543223052295, 'kfold': 2, 'epoch_count': 5}"
"{'loss': 0.0409824401140213, 'acc': 0.9884406924247742, 'val_loss': 0.32958152890205383, 'val_acc': 0.90765673874609, 'val_aupr': 0.9527717423346777, 'val_auc': 0.9611800801040034, 'val_f1': 0.9086014268407593, 'kfold': 2, 'epoch_count': 6}"
"{'loss': 0.03699612244963646, 'acc': 0.9892736077308655, 'val_loss': 0.3197556436061859, 'val_acc': 0.9077927376580988, 'val_aupr': 0.951875908959325, 'val_auc': 0.9624506749202548, 'val_f1': 0.9081300813008131, 'kfold': 2, 'epoch_count': 7}"
"{'loss': 0.40711554884910583, 'acc': 0.8090502619743347, 'val_loss': 0.27960753440856934, 'val_acc': 0.8871209030327757, 'val_aupr': 0.9403142786840519, 'val_auc': 0.9505530290083135, 'val_f1': 0.8909902810612031, 'kfold': 3, 'epoch_count': 1}"
"{'loss': 0.20484566688537598, 'acc': 0.9220256209373474, 'val_loss': 0.23736537992954254, 'val_acc': 0.9095607235142119, 'val_aupr': 0.9557546474075481, 'val_auc': 0.9646867488330902, 'val_f1': 0.9119088621009405, 'kfold': 3, 'epoch_count': 2}"
"{'loss': 0.09716656059026718, 'acc': 0.9682968854904175, 'val_loss': 0.2628515362739563, 'val_acc': 0.90765673874609, 'val_aupr': 0.956919203305931, 'val_auc': 0.9641613897711458, 'val_f1': 0.9078322247862087, 'kfold': 3, 'epoch_count': 3}"
"{'loss': 0.06612696498632431, 'acc': 0.9813011288642883, 'val_loss': 0.2649129033088684, 'val_acc': 0.9103767169862641, 'val_aupr': 0.9583719049910997, 'val_auc': 0.9660587786604047, 'val_f1': 0.9112696916655447, 'kfold': 3, 'epoch_count': 4}"
"{'loss': 0.0503147654235363, 'acc': 0.9855508804321289, 'val_loss': 0.34613415598869324, 'val_acc': 0.8974568203454373, 'val_aupr': 0.9497704936400464, 'val_auc': 0.9592301466285208, 'val_f1': 0.9008155748487239, 'kfold': 3, 'epoch_count': 5}"
"{'loss': 0.04152887687087059, 'acc': 0.9882876873016357, 'val_loss': 0.3085521459579468, 'val_acc': 0.9073847409220727, 'val_aupr': 0.9564502860693707, 'val_auc': 0.9638371926989813, 'val_f1': 0.90843081887858, 'kfold': 3, 'epoch_count': 6}"
"{'loss': 0.0397588312625885, 'acc': 0.9883046746253967, 'val_loss': 0.31944045424461365, 'val_acc': 0.9057527539779682, 'val_aupr': 0.9550316753864375, 'val_auc': 0.9624884307811136, 'val_f1': 0.9056501021102792, 'kfold': 3, 'epoch_count': 7}"
"{'loss': 0.03327270224690437, 'acc': 0.9897496104240417, 'val_loss': 0.39325666427612305, 'val_acc': 0.8928328573371414, 'val_aupr': 0.9451341879707877, 'val_auc': 0.955734078498306, 'val_f1': 0.8953241232731136, 'kfold': 3, 'epoch_count': 8}"
"{'loss': 0.030374597758054733, 'acc': 0.9896135926246643, 'val_loss': 0.38971757888793945, 'val_acc': 0.8962328301373589, 'val_aupr': 0.9478775840595068, 'val_auc': 0.9581063324965763, 'val_f1': 0.8980627922511691, 'kfold': 3, 'epoch_count': 9}"
